what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229180651781
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229180689874
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229180699545
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229180761959
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229180762574
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229180814287
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1229180816759
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1229180817475
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1229180820042
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1229180821344
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1229180824482
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1229180825441
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1229180827556
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1229180828789
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229180832942
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229180896076
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229180898767
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229180898781
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229180899649
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229180900496
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1229180902199
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1229180902199
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229180906637
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229181013901
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1229181017865
